Product_Name,Category,Main_Category,Original_Price,Discount_Percent,Discounted_Price,In_Stock,Total_Quantity
Luxury Sports Equipment Series,Sports Equipment,"Sports, Toys & Others",10914,0,10914,True,20
Shoes 3937,Shoes,Clothing,18824,30,13177,False,0
Ultra Sarees 2024,Sarees,Clothing,16535,10,14882,True,60
Vogue Smartwatches Elite,Smartwatches,Electronics,1655,0,1655,True,12
Activewear 5379,Activewear,Clothing,3296,15,2802,False,0
Smartwatches 2294,Smartwatches,Electronics,7580,0,7580,True,4
Trendy Office Chairs Collection,Office Chairs,Furniture,17515,5,16639,True,12
Luxury Toys Ultra,Toys,"Sports, Toys & Others",2643,30,1850,False,0
Value Shoes Max,Shoes,Clothing,3871,0,3871,True,7
Value Dresses Pro,Dresses,Clothing,1170,40,702,True,100
Trendy Sneakers Edition,Sneakers,Clothing,1041,0,1041,True,50
Premium Skincare X,Skincare,Beauty & Personal Care,14170,5,13462,True,6
Kitchen Appliances 2354,Kitchen Appliances,Home & Kitchen,28730,30,20111,True,2
Trendy Televisions 3000,Televisions,Electronics,4487,10,4038,True,4
Value Smartphones Plus,Smartphones,Electronics,18164,0,18164,True,40
Beds 1697,Beds,Furniture,7885,10,7096,True,5
Value Gaming Consoles Special,Gaming Consoles,Electronics,2130,5,2024,False,0
Ultra Televisions Elite,Televisions,Electronics,7882,40,4729,True,12
Sports Equipment 1539,Sports Equipment,"Sports, Toys & Others",36389,10,32750,True,40
Value Makeup 3000,Makeup,Beauty & Personal Care,4703,35,3057,True,4
Pro Beds 2024,Beds,Furniture,37670,50,18835,True,9
Shoes 7525,Shoes,Clothing,164,15,139,True,10
Office Chairs 5903,Office Chairs,Furniture,14344,50,7172,True,15
Pro Fragrances Edition,Fragrances,Beauty & Personal Care,5518,10,4966,False,0
Royal Jeans 3000,Jeans,Clothing,3340,60,1336,True,5
Luxury Gaming Consoles 2024,Gaming Consoles,Electronics,5552,0,5552,True,60
Speakers 2284,Speakers,Electronics,372,25,279,True,30
Neo Dresses Pro,Dresses,Clothing,3703,15,3148,True,15
Pro Gaming Consoles Max,Gaming Consoles,Electronics,7839,10,7055,True,30
Super Kurtas Edition,Kurtas,Clothing,33653,25,25240,True,9
Fragrances 6347,Fragrances,Beauty & Personal Care,2512,30,1758,True,4
Max T-Shirts Collection,T-Shirts,Clothing,1723,0,1723,True,25
Neo Televisions Edition,Televisions,Electronics,2567,0,2567,True,12
Style Toys Edition,Toys,"Sports, Toys & Others",16197,30,11338,True,20
Vogue Shirts Lite,Shirts,Clothing,7555,25,5666,False,0
Headphones 2204,Headphones,Electronics,2475,60,990,True,150
Elite Smartphones Edition,Smartphones,Electronics,9603,35,6242,True,15
Headphones 3527,Headphones,Electronics,5590,60,2236,True,3
Shoes 6188,Shoes,Clothing,17358,30,12151,True,10
Ultra Cookware X,Cookware,Home & Kitchen,1978,5,1879,False,0
T-Shirts 8286,T-Shirts,Clothing,3218,0,3218,True,50
Max Laptops Plus,Laptops,Electronics,2960,35,1924,True,12
Elite Office Chairs Series,Office Chairs,Furniture,735,25,551,True,150
Royal Toys Series,Toys,"Sports, Toys & Others",7241,0,7241,True,6
Ultra Shirts 5000,Shirts,Clothing,6919,10,6227,True,9
Vogue Toys 3000,Toys,"Sports, Toys & Others",4960,60,1984,True,150
Skincare 1202,Skincare,Beauty & Personal Care,3632,15,3087,True,150
Trendy Smartphones Max,Smartphones,Electronics,783,15,666,False,0
Activewear 4977,Activewear,Clothing,2852,15,2424,True,80
Elite Sneakers Edition,Sneakers,Clothing,3156,0,3156,True,3
Max Dresses Lite,Dresses,Clothing,1736,10,1562,True,100
Elite Gaming Consoles Max,Gaming Consoles,Electronics,3995,10,3596,True,7
Max Shoes Series,Shoes,Clothing,8332,0,8332,True,5
Super Headphones Max,Headphones,Electronics,57218,35,37192,True,6
Pro T-Shirts Special,T-Shirts,Clothing,6183,10,5565,True,9
Pro Jeans Collection,Jeans,Clothing,6887,40,4132,True,6
Max Fitness Gear X,Fitness Gear,"Sports, Toys & Others",4473,40,2684,True,7
Makeup 6443,Makeup,Beauty & Personal Care,407,0,407,True,4
Gaming Consoles 7224,Gaming Consoles,Electronics,4761,25,3571,True,7
Shirts 6399,Shirts,Clothing,5329,15,4530,True,15
Trendy Smartwatches 2024,Smartwatches,Electronics,121152,50,60576,True,10
Vogue Fragrances Z,Fragrances,Beauty & Personal Care,3837,0,3837,True,8
Elite Makeup Edition,Makeup,Beauty & Personal Care,7292,25,5469,True,40
Sofas 5775,Sofas,Furniture,4710,20,3768,True,150
Shoes 9044,Shoes,Clothing,1078,5,1024,True,40
Sarees 4971,Sarees,Clothing,21769,0,21769,True,8
Max Tablets Edition,Tablets,Electronics,13096,25,9822,True,40
Vogue Kitchen Appliances Z,Kitchen Appliances,Home & Kitchen,13779,30,9645,True,5
Royal Dresses S,Dresses,Clothing,1511,10,1360,True,4
Royal Kitchen Appliances X,Kitchen Appliances,Home & Kitchen,30522,25,22892,True,8
Shirts 8563,Shirts,Clothing,796,10,716,False,0
Smartphones 4434,Smartphones,Electronics,10567,30,7397,True,6
Max Beds Max,Beds,Furniture,84981,0,84981,True,3
Smartphones 7703,Smartphones,Electronics,1360,50,680,True,4
Elite Sports Equipment Lite,Sports Equipment,"Sports, Toys & Others",2360,5,2242,False,0
Style Makeup 2024,Makeup,Beauty & Personal Care,5609,10,5048,True,20
Home Decor 7176,Home Decor,Home & Kitchen,2561,0,2561,False,0
Vogue Sofas Special,Sofas,Furniture,656,0,656,True,15
Royal Laptops Series,Laptops,Electronics,5387,15,4579,True,12
Super Makeup 5000,Makeup,Beauty & Personal Care,1238,5,1176,True,25
Fitness Gear 9796,Fitness Gear,"Sports, Toys & Others",9120,40,5472,True,6
Ultra Laptops Plus,Laptops,Electronics,1491,0,1491,False,0
Jeans 6816,Jeans,Clothing,36957,10,33261,True,7
Vogue Laptops Pro,Laptops,Electronics,1780,10,1602,True,30
Style Kitchen Appliances Edition,Kitchen Appliances,Home & Kitchen,3242,0,3242,True,1
Kitchen Appliances 6432,Kitchen Appliances,Home & Kitchen,14188,0,14188,True,8
Headphones 8052,Headphones,Electronics,995,10,896,True,8
Ultra Jeans Elite,Jeans,Clothing,6623,15,5630,True,15
Luxury Dresses Ultra,Dresses,Clothing,26954,10,24259,False,0
Trendy Gaming Consoles Collection,Gaming Consoles,Electronics,610,20,488,True,50
Makeup 9199,Makeup,Beauty & Personal Care,6264,20,5011,True,6
Premium T-Shirts Special,T-Shirts,Clothing,6908,0,6908,True,25
Trendy Televisions Max,Televisions,Electronics,13615,15,11573,True,60
Luxury Dresses 2024,Dresses,Clothing,987,60,395,True,15
Neo Activewear Collection,Activewear,Clothing,885,15,752,False,0
Televisions 9537,Televisions,Electronics,9712,25,7284,True,25
Classic Beds Plus,Beds,Furniture,7249,10,6524,True,8
Luxury Toys Collection,Toys,"Sports, Toys & Others",6824,35,4436,True,60
Max Shoes Pro,Shoes,Clothing,7731,35,5025,False,0
T-Shirts 2885,T-Shirts,Clothing,2036,20,1629,True,15
Neo Shirts Plus,Shirts,Clothing,6664,60,2666,True,40
Elite Headphones Ultra,Headphones,Electronics,7213,0,7213,True,8
Royal Televisions S,Televisions,Electronics,1947,0,1947,True,7
Trendy Wardrobes Collection,Wardrobes,Furniture,55720,35,36218,True,10
Trendy Kurtas S,Kurtas,Clothing,9123,35,5930,True,60
Style Speakers Series,Speakers,Electronics,1047,0,1047,True,200
Luxury Televisions Z,Televisions,Electronics,11569,5,10991,True,15
Trendy Laptops Edition,Laptops,Electronics,1388,0,1388,True,25
Pro Shoes Z,Shoes,Clothing,13709,5,13024,True,150
Luxury Televisions Max,Televisions,Electronics,22220,35,14443,True,3
Super Fragrances S,Fragrances,Beauty & Personal Care,1695,15,1441,True,6
Pro Skincare Collection,Skincare,Beauty & Personal Care,17240,10,15516,True,30
Style Laptops Special,Laptops,Electronics,8427,10,7584,True,60
Style Speakers 3000,Speakers,Electronics,14347,0,14347,True,80
Vogue Shoes Edition,Shoes,Clothing,58013,5,55112,True,9
Neo Televisions 5000,Televisions,Electronics,3582,25,2686,True,3
Tablets 3826,Tablets,Electronics,1850,60,740,False,0
Sports Equipment 5873,Sports Equipment,"Sports, Toys & Others",1550,40,930,True,6
Kurtas 2388,Kurtas,Clothing,1706,0,1706,False,0
Neo Jeans Plus,Jeans,Clothing,4458,50,2229,True,50
Ultra Cookware S,Cookware,Home & Kitchen,7678,35,4991,True,3
Elite Home Decor Edition,Home Decor,Home & Kitchen,7061,35,4590,True,60
Elite Smartwatches Edition,Smartwatches,Electronics,14442,15,12276,True,9
Classic Headphones S,Headphones,Electronics,5011,10,4510,True,20
Classic T-Shirts Lite,T-Shirts,Clothing,32604,5,30974,True,3
Neo T-Shirts Collection,T-Shirts,Clothing,3493,0,3493,False,0
Value Jeans 5000,Jeans,Clothing,169195,5,160735,True,3
Activewear 8939,Activewear,Clothing,11114,5,10558,True,500
Value Sneakers Edition,Sneakers,Clothing,1617,15,1374,True,60
Toys 9281,Toys,"Sports, Toys & Others",1225,30,858,True,10
Trendy Headphones Special,Headphones,Electronics,9226,15,7842,True,6
Value T-Shirts Collection,T-Shirts,Clothing,3685,0,3685,True,300
Ultra Wardrobes X,Wardrobes,Furniture,12466,60,4986,False,0
Skincare 4613,Skincare,Beauty & Personal Care,9116,60,3646,True,5
Max Speakers Ultra,Speakers,Electronics,4482,35,2913,True,15
Elite Smartwatches Collection,Smartwatches,Electronics,1639,70,492,True,300
Super T-Shirts Special,T-Shirts,Clothing,688,20,550,True,0
Ultra T-Shirts Plus,T-Shirts,Clothing,2758,60,1103,True,6
Royal Gaming Consoles 5000,Gaming Consoles,Electronics,15001,0,15001,True,300
Super Speakers Pro,Speakers,Electronics,6509,10,5858,True,5
Sports Equipment 8231,Sports Equipment,"Sports, Toys & Others",976,5,927,True,4
Trendy T-Shirts Plus,T-Shirts,Clothing,6172,0,6172,True,15
Skincare 5055,Skincare,Beauty & Personal Care,8131,0,8131,False,0
Premium Dresses Collection,Dresses,Clothing,1562,25,1172,True,10
Value Laptops Max,Laptops,Electronics,6018,35,3912,True,500
Ultra Toys Ultra,Toys,"Sports, Toys & Others",5315,20,4252,True,25
Luxury Home Decor 5000,Home Decor,Home & Kitchen,1115,0,1115,True,3
Toys 8015,Toys,"Sports, Toys & Others",7846,35,5100,True,500
Elite Sports Equipment Z,Sports Equipment,"Sports, Toys & Others",10215,25,7661,True,9
Skincare 1972,Skincare,Beauty & Personal Care,20142,10,18128,True,7
Royal Smartwatches Elite,Smartwatches,Electronics,19390,25,14542,True,15
Elite Jeans 3000,Jeans,Clothing,822,5,781,True,7
Televisions 5794,Televisions,Electronics,1456,10,1310,True,3
Max T-Shirts Plus,T-Shirts,Clothing,9625,50,4812,True,0
Super Laptops Series,Laptops,Electronics,9609,5,9129,True,10
Office Chairs 5543,Office Chairs,Furniture,9625,15,8181,True,80
Toys 3078,Toys,"Sports, Toys & Others",399999,50,200000,True,15
Gaming Consoles 3174,Gaming Consoles,Electronics,10350,30,7245,True,500
Luxury Cookware 3000,Cookware,Home & Kitchen,21565,0,21565,False,0
Jeans 7434,Jeans,Clothing,17031,0,17031,True,7
Vogue T-Shirts Elite,T-Shirts,Clothing,11492,0,11492,False,0
Trendy Fitness Gear Collection,Fitness Gear,"Sports, Toys & Others",3271,25,2453,True,5
Super Toys Max,Toys,"Sports, Toys & Others",13217,15,11234,True,7
Luxury Dresses Elite,Dresses,Clothing,1804,0,1804,True,50
Neo Activewear Collection,Activewear,Clothing,3622,60,1449,False,0
Tablets 6362,Tablets,Electronics,2622,20,2098,True,500
Value Sofas Max,Sofas,Furniture,5481,5,5207,True,6
Fitness Gear 8511,Fitness Gear,"Sports, Toys & Others",99872,15,84891,True,100
Luxury Kurtas 5000,Kurtas,Clothing,435,25,326,True,7
Dresses 9756,Dresses,Clothing,12025,0,12025,True,4
Trendy Activewear Z,Activewear,Clothing,605,5,575,True,100
Neo Laptops Lite,Laptops,Electronics,2668,35,1734,True,20
Vogue Kurtas 2024,Kurtas,Clothing,20297,15,17252,True,5
Classic Shirts 3000,Shirts,Clothing,5357,20,4286,True,9
Skincare 1793,Skincare,Beauty & Personal Care,1214,15,1032,True,7
Style Tablets Collection,Tablets,Electronics,1944,0,1944,True,40
Value Fitness Gear S,Fitness Gear,"Sports, Toys & Others",11921,0,11921,True,10
Premium Laptops Series,Laptops,Electronics,1907,15,1621,True,500
Luxury Smartwatches 2024,Smartwatches,Electronics,6529,0,6529,True,2
Kurtas 5945,Kurtas,Clothing,5228,0,5228,True,8
Max Sneakers Max,Sneakers,Clothing,2112,40,1267,True,10
Max Speakers Max,Speakers,Electronics,79994,70,23998,True,12
Style Headphones S,Headphones,Electronics,11234,35,7302,True,7
Style Makeup Lite,Makeup,Beauty & Personal Care,354,40,212,True,40
Speakers 4836,Speakers,Electronics,6279,5,5965,True,100
Ultra Kurtas Plus,Kurtas,Clothing,2084,60,834,False,0
Classic Sarees Max,Sarees,Clothing,14924,0,14924,False,0
Pro T-Shirts Collection,T-Shirts,Clothing,1759,60,704,True,80
Luxury Kurtas 3000,Kurtas,Clothing,4245,70,1274,True,15
Shirts 7919,Shirts,Clothing,9500,30,6650,True,60
Classic Sports Equipment Max,Sports Equipment,"Sports, Toys & Others",15185,70,4556,False,0
Ultra Televisions Plus,Televisions,Electronics,1035,20,828,True,9
Neo Activewear Lite,Activewear,Clothing,3190,5,3030,True,7
Super Speakers 2024,Speakers,Electronics,2658,15,2259,True,10
Style Office Chairs 2024,Office Chairs,Furniture,2107,20,1686,True,7
Vogue Sneakers X,Sneakers,Clothing,48907,0,48907,True,500
Elite Sofas Collection,Sofas,Furniture,8342,25,6256,True,7
Pro Beds 2024,Beds,Furniture,957,70,287,True,3
Kitchen Appliances 8248,Kitchen Appliances,Home & Kitchen,16249,0,16249,True,12
Laptops 2420,Laptops,Electronics,77760,35,50544,True,2
Jeans 3293,Jeans,Clothing,18860,50,9430,True,4
Toys 7291,Toys,"Sports, Toys & Others",684,60,274,False,0
Trendy Toys 3000,Toys,"Sports, Toys & Others",2626,60,1050,True,10
Laptops 5059,Laptops,Electronics,25580,20,20464,True,9
Ultra Televisions Ultra,Televisions,Electronics,1964,60,786,True,50
Vogue Gaming Consoles Lite,Gaming Consoles,Electronics,8774,30,6142,True,40
Sports Equipment 1439,Sports Equipment,"Sports, Toys & Others",13489,0,13489,False,0
Makeup 5942,Makeup,Beauty & Personal Care,1477,15,1255,True,8
Vogue Makeup Z,Makeup,Beauty & Personal Care,4561,30,3193,True,7
Dining Sets 5842,Dining Sets,Furniture,79,5,75,True,50
Super Tablets Ultra,Tablets,Electronics,1301,25,976,True,2
Ultra Home Decor Ultra,Home Decor,Home & Kitchen,3548,25,2661,True,1
Vogue Sneakers Max,Sneakers,Clothing,973,0,973,True,50
Premium Sarees 5000,Sarees,Clothing,41139,20,32911,True,10
Toys 3162,Toys,"Sports, Toys & Others",768,35,499,False,0
Value Shoes Series,Shoes,Clothing,2781,15,2364,False,0
Style Smartphones S,Smartphones,Electronics,5840,0,5840,True,300
Home Decor 2195,Home Decor,Home & Kitchen,32088,0,32088,False,0
Ultra Sofas X,Sofas,Furniture,762,10,686,True,30
Premium Shoes Pro,Shoes,Clothing,22353,50,11176,True,10
Sports Equipment 7520,Sports Equipment,"Sports, Toys & Others",4993,5,4743,True,12
Style Tablets Series,Tablets,Electronics,1376,25,1032,True,500
Trendy Headphones Max,Headphones,Electronics,8985,5,8536,True,500
Royal Headphones 2024,Headphones,Electronics,6383,10,5745,True,6
Max Dresses Max,Dresses,Clothing,2258,40,1355,True,60
Pro Gaming Consoles 2024,Gaming Consoles,Electronics,5396,30,3777,True,5
Trendy Sarees Max,Sarees,Clothing,2986,0,2986,True,6
Trendy Activewear Ultra,Activewear,Clothing,5711,15,4854,True,25
Ultra Televisions Series,Televisions,Electronics,11653,0,11653,True,9
Vogue Shoes Pro,Shoes,Clothing,38731,15,32921,True,300
Luxury Gaming Consoles S,Gaming Consoles,Electronics,986,25,740,True,3
Luxury Jeans 2024,Jeans,Clothing,78868,0,78868,True,12
Fragrances 3684,Fragrances,Beauty & Personal Care,390,5,370,True,200
Neo Skincare Elite,Skincare,Beauty & Personal Care,4045,10,3640,True,150
Elite Headphones Elite,Headphones,Electronics,10587,50,5294,True,5
T-Shirts 2934,T-Shirts,Clothing,7100,70,2130,True,8
Gaming Consoles 1480,Gaming Consoles,Electronics,2193,0,2193,True,20
Trendy Smartphones Elite,Smartphones,Electronics,3759,35,2443,True,5
Max Kitchen Appliances Max,Kitchen Appliances,Home & Kitchen,2596,10,2336,True,500
Royal Shoes 5000,Shoes,Clothing,2290,10,2061,False,0
Value Gaming Consoles S,Gaming Consoles,Electronics,14870,30,10409,False,0
Max Activewear Plus,Activewear,Clothing,7838,50,3919,True,4
Dresses 2889,Dresses,Clothing,2002,60,801,True,3
Royal T-Shirts X,T-Shirts,Clothing,15868,20,12694,True,150
Value Smartphones X,Smartphones,Electronics,7347,10,6612,True,5
Classic Laptops 5000,Laptops,Electronics,14176,35,9214,False,0
Elite Makeup S,Makeup,Beauty & Personal Care,11171,5,10612,True,10
Fragrances 1579,Fragrances,Beauty & Personal Care,1677,20,1342,True,20
Luxury Dresses Series,Dresses,Clothing,2379,10,2141,True,3
Pro Home Decor Series,Home Decor,Home & Kitchen,13018,25,9764,False,0
Kurtas 6241,Kurtas,Clothing,10895,5,10350,True,300
Ultra Tablets 5000,Tablets,Electronics,4795,0,4795,True,150
Style Headphones Pro,Headphones,Electronics,5739,50,2870,True,50
Super Sofas Pro,Sofas,Furniture,25940,0,25940,True,1
Fragrances 2129,Fragrances,Beauty & Personal Care,2284,15,1941,True,7
Cookware 5625,Cookware,Home & Kitchen,10035,5,9533,True,20
Skincare 6090,Skincare,Beauty & Personal Care,3789,0,3789,False,0
Royal Fragrances Collection,Fragrances,Beauty & Personal Care,3713,0,3713,False,0
Pro Televisions Lite,Televisions,Electronics,20558,0,20558,False,0
Max Speakers Ultra,Speakers,Electronics,14409,40,8645,True,3
Vogue Headphones Special,Headphones,Electronics,14188,5,13479,True,150
Kitchen Appliances 4201,Kitchen Appliances,Home & Kitchen,26895,60,10758,True,500
Makeup 9954,Makeup,Beauty & Personal Care,5064,20,4051,True,3
T-Shirts 5016,T-Shirts,Clothing,11958,15,10164,True,12
Trendy Sarees X,Sarees,Clothing,3292,20,2634,True,7
Neo Tablets X,Tablets,Electronics,7510,15,6384,True,9
Sports Equipment 1023,Sports Equipment,"Sports, Toys & Others",4161,30,2913,True,5
Skincare 7164,Skincare,Beauty & Personal Care,5590,5,5310,True,15
Toys 6038,Toys,"Sports, Toys & Others",10682,10,9614,True,500
Royal Home Decor Ultra,Home Decor,Home & Kitchen,1701,50,850,True,12
Premium Makeup 2024,Makeup,Beauty & Personal Care,74809,60,29924,True,3
Smartphones 2524,Smartphones,Electronics,1332,50,666,True,20
Pro Activewear Series,Activewear,Clothing,1017,10,915,True,8
Beds 7102,Beds,Furniture,22206,35,14434,True,80
Luxury Sports Equipment Max,Sports Equipment,"Sports, Toys & Others",13791,15,11722,True,9
Royal Cookware 2024,Cookware,Home & Kitchen,11092,15,9428,True,5
Trendy Skincare Max,Skincare,Beauty & Personal Care,11153,0,11153,True,5
Premium Home Decor Series,Home Decor,Home & Kitchen,4850,20,3880,True,50
Elite Gaming Consoles Ultra,Gaming Consoles,Electronics,1535,0,1535,True,6
Value Cookware 3000,Cookware,Home & Kitchen,5438,10,4894,True,50
Headphones 7438,Headphones,Electronics,2043,40,1226,True,5
Makeup 6345,Makeup,Beauty & Personal Care,17505,0,17505,True,7
Max Skincare Ultra,Skincare,Beauty & Personal Care,4070,0,4070,True,10
Pro Televisions 2024,Televisions,Electronics,1685,0,1685,True,300
Home Decor 2785,Home Decor,Home & Kitchen,3245,60,1298,False,0
Elite Jeans Collection,Jeans,Clothing,8429,15,7165,True,5
Trendy Sofas Plus,Sofas,Furniture,2368,10,2131,True,8
Super Cookware Z,Cookware,Home & Kitchen,1692,35,1100,True,4
Classic Televisions Elite,Televisions,Electronics,6764,40,4058,True,12
Smartphones 2481,Smartphones,Electronics,6775,10,6098,True,10
Style Televisions Lite,Televisions,Electronics,2549,30,1784,True,150
Beds 1660,Beds,Furniture,2671,35,1736,True,300
Value Skincare 3000,Skincare,Beauty & Personal Care,6662,25,4996,True,8
Luxury Fitness Gear Ultra,Fitness Gear,"Sports, Toys & Others",750,0,750,True,12
Gaming Consoles 7492,Gaming Consoles,Electronics,791,50,396,True,150
Style Shoes Lite,Shoes,Clothing,1936,20,1549,True,60
Elite T-Shirts X,T-Shirts,Clothing,3734,5,3547,True,0
Toys 8408,Toys,"Sports, Toys & Others",7382,15,6275,True,7
Royal Dresses Ultra,Dresses,Clothing,33542,0,33542,False,0
Ultra Sports Equipment 2024,Sports Equipment,"Sports, Toys & Others",15026,0,15026,True,6
Premium Headphones Ultra,Headphones,Electronics,4002,35,2601,True,5
Value Toys Edition,Toys,"Sports, Toys & Others",4807,0,4807,True,2
Style Smartwatches Max,Smartwatches,Electronics,1338,10,1204,True,25
Max Fitness Gear Max,Fitness Gear,"Sports, Toys & Others",4810,20,3848,False,0
Ultra Gaming Consoles Z,Gaming Consoles,Electronics,3386,0,3386,True,2
Headphones 8265,Headphones,Electronics,7496,60,2998,False,0
T-Shirts 2506,T-Shirts,Clothing,1681,5,1597,True,60
Activewear 6432,Activewear,Clothing,9679,5,9195,True,80
Classic Beds Pro,Beds,Furniture,36140,5,34333,True,10
Vogue Sarees Series,Sarees,Clothing,4278,5,4064,False,0
Shirts 7471,Shirts,Clothing,8307,0,8307,True,500
Trendy Office Chairs Series,Office Chairs,Furniture,12086,30,8460,True,5
Pro Kurtas S,Kurtas,Clothing,2925,60,1170,True,6
Classic Speakers 2024,Speakers,Electronics,6594,5,6264,True,7
Vogue Sneakers Ultra,Sneakers,Clothing,5009,25,3757,False,0
Classic Smartphones Series,Smartphones,Electronics,5595,30,3916,True,8
Sports Equipment 8848,Sports Equipment,"Sports, Toys & Others",1804,40,1082,True,200
Max Dresses Edition,Dresses,Clothing,5087,15,4324,True,20
Pro Activewear Ultra,Activewear,Clothing,9414,5,8943,True,9
Super Activewear X,Activewear,Clothing,32502,10,29252,False,0
Shoes 6883,Shoes,Clothing,17148,30,12004,True,2
Super Dining Sets Special,Dining Sets,Furniture,80961,35,52625,True,6
Vogue Laptops 3000,Laptops,Electronics,1817,0,1817,False,0
Elite Shoes X,Shoes,Clothing,15315,10,13784,True,20
Pro Beds X,Beds,Furniture,6254,50,3127,True,2
Beds 5602,Beds,Furniture,84908,35,55190,True,9
Classic Skincare 5000,Skincare,Beauty & Personal Care,1723,70,517,True,25
Activewear 4813,Activewear,Clothing,1654,30,1158,True,30
Sofas 2640,Sofas,Furniture,2261,10,2035,False,0
Pro Sofas Elite,Sofas,Furniture,312,20,250,True,7
Super T-Shirts Pro,T-Shirts,Clothing,2488,25,1866,True,3
T-Shirts 4594,T-Shirts,Clothing,1837,0,1837,False,0
Super Sofas Edition,Sofas,Furniture,5991,20,4793,True,4
Value Headphones S,Headphones,Electronics,7684,30,5379,True,300
Vogue T-Shirts 3000,T-Shirts,Clothing,56478,0,56478,True,10
Sports Equipment 6878,Sports Equipment,"Sports, Toys & Others",16952,35,11019,False,0
Sneakers 1462,Sneakers,Clothing,2328,20,1862,True,50
Fragrances 6761,Fragrances,Beauty & Personal Care,1532,60,613,True,12
Sarees 3328,Sarees,Clothing,9340,0,9340,True,7
Pro Sofas Special,Sofas,Furniture,886,5,842,True,60
Elite Dresses Special,Dresses,Clothing,53289,20,42631,True,100
Premium Smartphones Ultra,Smartphones,Electronics,22831,5,21689,True,25
Premium Sofas Special,Sofas,Furniture,2678,30,1875,True,2
Vogue T-Shirts Z,T-Shirts,Clothing,531,30,372,True,15
Kurtas 6582,Kurtas,Clothing,28642,0,28642,False,0
Shoes 6301,Shoes,Clothing,4246,15,3609,True,4
Elite Jeans 2024,Jeans,Clothing,24631,15,20936,True,6
